gene	geneCat	labelGene	lof_z	wlof
SLC15A2	Other gene (n = 17,031)		1.2674	4.775913848185264
MRPS31	Other gene (n = 17,031)		1.9833	4.775485710568495
RAPGEFL1	Other gene (n = 17,031)		3.6008	4.774582936591221
LGR4	Other gene (n = 17,031)		4.6395	4.772636807338224
LY75-CD302	Other gene (n = 17,031)		2.1979	4.771552188101764
BTN3A2	Other gene (n = 17,031)		0.25863	4.767680017534808
EDIL3	Other gene (n = 17,031)		3.1445	4.766281457741213
AADACL2	Other gene (n = 17,031)		-0.12089	4.762021641050029
NDC80	Other gene (n = 17,031)		3.0263	4.75766210117242
TINAGL1	Other gene (n = 17,031)		3.0515	4.754976578818972
FGD5	Other gene (n = 17,031)		6.4623	4.744611705491832
INCENP	Other gene (n = 17,031)		5.1134	4.738341293501078
ST8SIA4	Other gene (n = 17,031)		1.8562	4.731923625498354
OR51E1	Other gene (n = 17,031)		0.42311	4.725997033953967
RMND5A	Other gene (n = 17,031)		3.5991	4.719190356800428
RERE	Other gene (n = 17,031)		7.111	4.711724299382666
SRSF7	Other gene (n = 17,031)		3.8495	4.710556327740153
OR8K1	Other gene (n = 17,031)		-0.76736	4.70393330808852
GTF2B	Other gene (n = 17,031)		1.8174	4.698092946404305
MFSD6	Other gene (n = 17,031)		2.2448	4.695147234851832
AMBRA1	Other gene (n = 17,031)		6.5296	4.6858401864264305
GPANK1	Other gene (n = 17,031)		0.51316	4.684086293343832
OR1S2	Other gene (n = 17,031)		-0.47878	4.683761701306561
ANKS1A	Other gene (n = 17,031)		5.416	4.683410393496593
BTRC	Other gene (n = 17,031)		4.3496	4.678598619259571
PIK3C2B	Other gene (n = 17,031)		6.9051	4.676433247064141
EYA1	Other gene (n = 17,031)		4.6023	4.67346826560822
NKTR	Other gene (n = 17,031)		6.4241	4.666779641779924
OR8J1	Other gene (n = 17,031)		-0.78218	4.665363760108202
AIM2	Other gene (n = 17,031)		-0.14306	4.660989154329546
EN1	Other gene (n = 17,031)		2.7072	4.659244885878438
OR2J1	Other gene (n = 17,031)		0.94632	4.659028758891948
ZNF773	Other gene (n = 17,031)		0.50846	4.658017613020428
HSPA6	Other gene (n = 17,031)		0.63933	4.656483369406126
DPCR1	Other gene (n = 17,031)		2.7082	4.653724740823601
STT3A	Other gene (n = 17,031)		4.1765	4.653169803194608
TRPS1	Other gene (n = 17,031)		5.9249	4.645818183224636
RFX7	Other gene (n = 17,031)		6.1266	4.644623656580315
NAGLU	Other gene (n = 17,031)		1.959	4.637311828365269
ANKUB1	Other gene (n = 17,031)		1.1167	4.637274917742862
OR2B6	Other gene (n = 17,031)		1.1987	4.634970061430162
TNMD	Other gene (n = 17,031)		1.8015	4.626041705334976
OR9Q2	Other gene (n = 17,031)		-0.89373	4.623378044510143
THRAP3	Other gene (n = 17,031)		5.8926	4.6217651179829655
WDR48	Other gene (n = 17,031)		5.4855	4.619561040197439
CCDC30	Other gene (n = 17,031)		1.9606	4.618699238983315
CTU2	Other gene (n = 17,031)		-0.53286	4.616444880799633
PPM1L	Other gene (n = 17,031)		2.7976	4.615614296705624
MUSK	Other gene (n = 17,031)		3.0708	4.611351462115794
TAF15	Other gene (n = 17,031)		4.7583	4.61086565481547
HLTF	Other gene (n = 17,031)		0.93663	4.609407362979412
SLC35G1	Other gene (n = 17,031)		2.1306	4.60899477968529
WWP1	Other gene (n = 17,031)		6.0975	4.599388350575613
DHX57	Other gene (n = 17,031)		3.829	4.59834972671203
SAE1	Other gene (n = 17,031)		3.6741	4.59816177317231
SEC14L5	Other gene (n = 17,031)		0.33917	4.598008614821824
GPR64	Other gene (n = 17,031)		4.524	4.597788839557604
SLC25A46	Other gene (n = 17,031)		1.8809	4.593414617047648
IDH2	Other gene (n = 17,031)		3.5434	4.592204029407648
ABCA2	Other gene (n = 17,031)		8.916	4.58464954993554
KRT3	Other gene (n = 17,031)		0.77811	4.58360092716836
ANGPTL2	Other gene (n = 17,031)		2.8118	4.58338914753629
GIF	Other gene (n = 17,031)		2.1402	4.58296536050433
PDE4C	Other gene (n = 17,031)		2.3775	4.579808401543192
SMARCD2	Other gene (n = 17,031)		3.2363	4.574452767481281
STOML2	Other gene (n = 17,031)		2.5905	4.569842718077908
SEMA7A	Other gene (n = 17,031)		4.0093	4.558233357275488
OR10A6	Other gene (n = 17,031)		-0.84985	4.55709822684512
OR1L3	Other gene (n = 17,031)		-0.52706	4.555162493934222
PLA2G4C	Other gene (n = 17,031)		1.5278	4.553099371177092
CHST3	Other gene (n = 17,031)		2.1349	4.552406351598999
APOBEC4	Other gene (n = 17,031)		0.57919	4.551295941547218
KCNB1	Other gene (n = 17,031)		4.5359	4.548540756516092
DNAJC28	Other gene (n = 17,031)		0.44902	4.54104653493246
BMP3	Other gene (n = 17,031)		2.5596	4.540412901514954
KLHL26	Other gene (n = 17,031)		1.6389	4.53339136209192
LAMB1	Other gene (n = 17,031)		4.6437	4.524822175814355
CCR1	Other gene (n = 17,031)		2.1973	4.523849893169774
SLC35E1	Other gene (n = 17,031)		2.4853	4.522583676439336
SLC9A7	Other gene (n = 17,031)		4.1434	4.516662353949852
HENMT1	Other gene (n = 17,031)		-0.043485	4.510414177365636
ADCY9	Other gene (n = 17,031)		5.2837	4.51036336246925
KCNH8	Other gene (n = 17,031)		3.5103	4.508807821871708
ANKRD28	Other gene (n = 17,031)		6.2725	4.508202980221585
ZNF584	Other gene (n = 17,031)		1.2513	4.5024533983017445
WDR92	Other gene (n = 17,031)		2.6505	4.502216051069711
OR10W1	Other gene (n = 17,031)		0.68278	4.501768026464393
ZFYVE27	Other gene (n = 17,031)		1.1596	4.497774844733265
ZNF653	Other gene (n = 17,031)		2.7646	4.492622655397377
SIAH2	Other gene (n = 17,031)		2.3101	4.486495346093678
LIPT1	Other gene (n = 17,031)		-0.19569	4.478942960881455
SLC28A1	Other gene (n = 17,031)		0.38875	4.47570882723489
CDK2	Other gene (n = 17,031)		3.0093	4.4736500796023035
FAM46B	Other gene (n = 17,031)		2.2006	4.470534577428911
PALB2	Other gene (n = 17,031)		1.5174	4.4676481377068
VGF	Other gene (n = 17,031)		2.9444	4.466170908362374
MCM3	Other gene (n = 17,031)		2.884	4.465190562523363
ANKRD26	Other gene (n = 17,031)		3.683	4.464651780402988
UBA6	Other gene (n = 17,031)		4.4263	4.461234038760527
PCDH20	Other gene (n = 17,031)		3.7932	4.457270098460235
ZCCHC16	Other gene (n = 17,031)		-0.19642	4.450391587518038
OR5H6	Other gene (n = 17,031)		-0.22913	4.447675397183897
ARHGAP29	Other gene (n = 17,031)		6.0875	4.4443483356893285
POMT1	Other gene (n = 17,031)		1.9213	4.443281400139644
CCAR1	Other gene (n = 17,031)		6.9503	4.434094607834218
HYLS1	Other gene (n = 17,031)		0.29808	4.433919497055698
SLC14A1	Other gene (n = 17,031)		-0.12698	4.433012771970755
SUGT1	Other gene (n = 17,031)		3.4886	4.432091697779836
MFSD6L	Other gene (n = 17,031)		0.89237	4.431801949481479
WDR33	Other gene (n = 17,031)		7.2287	4.424139219098551
PRPF4B	Other gene (n = 17,031)		6.2868	4.418504997336925
FOXJ3	Other gene (n = 17,031)		4.7613	4.417628480377093
RFX3	Other gene (n = 17,031)		6.1353	4.412643470910183
ZDHHC15	Other gene (n = 17,031)		3.083	4.411345194972668
EFS	Other gene (n = 17,031)		0.86336	4.410536418670043
ELK3	Other gene (n = 17,031)		2.2808	4.4090812238362
FAM175B	Other gene (n = 17,031)		2.968	4.40720143462332
DCTN2	Other gene (n = 17,031)		4.3124	4.406287246469064
CSMD1	Other gene (n = 17,031)		10.441	4.405919548381746
ADD2	Other gene (n = 17,031)		4.996	4.405397387770433
ZNF585B	Other gene (n = 17,031)		2.2922	4.402218062420755
ZMYND8	Other gene (n = 17,031)		6.7688	4.400978475790613
RABGGTA	Other gene (n = 17,031)		2.4659	4.4008916002504
STON1	Other gene (n = 17,031)		1.08	4.399989206600518
DDX49	Other gene (n = 17,031)		0.77223	4.395148526251267
SMARCA4	Other gene (n = 17,031)		8.4809	4.3947824925991235
CDC123	Other gene (n = 17,031)		2.2672	4.39061658487174
NSMCE4A	Other gene (n = 17,031)		2.8502	4.389677236468798
RUNX1	Other gene (n = 17,031)		3.4241	4.386301399149546
OR13C4	Other gene (n = 17,031)		-1.2243	4.386023716401399
KBTBD12	Other gene (n = 17,031)		0.61772	4.383372096669889
CSNK2A1	Other gene (n = 17,031)		4.4737	4.381047915383942
GAK	Other gene (n = 17,031)		5.3297	4.3747108411513675
ITGA9	Other gene (n = 17,031)		4.9865	4.371291302374252
SLC17A1	Other gene (n = 17,031)		0.11015	4.368706829522168
OR10A5	Other gene (n = 17,031)		0.90403	4.3594892001216055
CSPP1	Other gene (n = 17,031)		2.0417	4.359159621396409
PODXL2	Other gene (n = 17,031)		4.2697	4.355761972215235
LACTB	Other gene (n = 17,031)		1.5979	4.355728316996091
OR5P3	Other gene (n = 17,031)		1.1909	4.354204929031027
DNA2	Other gene (n = 17,031)		1.975	4.354022917326758
MRC2	Other gene (n = 17,031)		6.7725	4.3539277561190275
ZZZ3	Other gene (n = 17,031)		5.7105	4.348233141922359
KIAA0947	Other gene (n = 17,031)		7.5737	4.34720821913691
TRAF4	Other gene (n = 17,031)		3.7484	4.344387529270695
EXOC8	Other gene (n = 17,031)		4.3989	4.342856874110729
KIAA1377	Other gene (n = 17,031)		1.7626	4.3396559249659195
PCSK4	Other gene (n = 17,031)		1.725	4.337705494804855
SMEK1	Other gene (n = 17,031)		5.4148	4.333230010780528
CCDC27	Other gene (n = 17,031)		-0.56332	4.330379188342587
NRG3	Other gene (n = 17,031)		3.851	4.326741947106829
RB1	Other gene (n = 17,031)		6.9291	4.326276167742862
GLRA3	Other gene (n = 17,031)		2.8309	4.323489963382575
PLEKHG2	Other gene (n = 17,031)		3.9442	4.319372274378408
CYP3A43	Other gene (n = 17,031)		1.112	4.318302141842952
ADPRM	Other gene (n = 17,031)		1.3104	4.313894882946992
SH3RF1	Other gene (n = 17,031)		3.7682	4.313865692841082
TNIK	Other gene (n = 17,031)		7.7492	4.305279334824619
PCSK1	Other gene (n = 17,031)		2.9423	4.3028229224664845
EBF4	Other gene (n = 17,031)		2.661	4.299986171166623
SMCHD1	Other gene (n = 17,031)		8.5559	4.2989183022441075
WDR53	Other gene (n = 17,031)		1.6357	4.298390501079561
S1PR3	Other gene (n = 17,031)		1.399	4.298251126190767
FAM160A1	Other gene (n = 17,031)		3.3731	4.289414131875147
MORC2	Other gene (n = 17,031)		6.3142	4.2870956147250645
GMPPA	Other gene (n = 17,031)		1.7899	4.283707932394155
B3GALT4	Other gene (n = 17,031)		2.2799	4.282820685765571
EFNB2	Other gene (n = 17,031)		3.3982	4.275531504296456
NTRK1	Other gene (n = 17,031)		3.1944	4.2746848849860735
MORC3	Other gene (n = 17,031)		5.6814	4.271939565722285
EPX	Other gene (n = 17,031)		0.47922	4.2703414573860226
CILP2	Other gene (n = 17,031)		2.9214	4.267385302135948
TOX2	Other gene (n = 17,031)		2.7488	4.266817865028853
B3GNT9	Other gene (n = 17,031)		-0.13273	4.266101013605139
OR5AN1	Other gene (n = 17,031)		-0.26146	4.2650999735591375
TNRC18	Other gene (n = 17,031)		6.9142	4.264118443640091
MEPE	Other gene (n = 17,031)		1.0596	4.258344946519908
ALKBH5	Other gene (n = 17,031)		3.1956	4.25784919416749
RPL5	Other gene (n = 17,031)		3.9155	4.257829805294182
MYO10	Other gene (n = 17,031)		7.1688	4.257596846642735
C18orf25	Other gene (n = 17,031)		3.2398	4.257064150783546
NIPAL1	Other gene (n = 17,031)		0.085916	4.249296220465573
TMEM194A	Other gene (n = 17,031)		3.9541	4.246290589927468
WDFY2	Other gene (n = 17,031)		1.5827	4.246012976919653
TRPC6	Other gene (n = 17,031)		3.3061	4.245717596364741
RGS22	Other gene (n = 17,031)		1.8637	4.241329339934473
SALL3	Other gene (n = 17,031)		3.7406	4.237224288439823
ACAP1	Other gene (n = 17,031)		4.5254	4.236784665759739
LARP1	Other gene (n = 17,031)		6.4111	4.235173427720947
WTAP	Other gene (n = 17,031)		4.4385	4.232307158149616
COL13A1	Other gene (n = 17,031)		3.0546	4.230938394686723
BNIP2	Other gene (n = 17,031)		2.058	4.222295947322787
OPLAH	Other gene (n = 17,031)		2.332	4.222170841395861
RBM20	Other gene (n = 17,031)		5.2158	4.220695310068976
TDRD6	Other gene (n = 17,031)		0.047563	4.21704383727469
SLC5A12	Other gene (n = 17,031)		2.9474	4.214665676518197
CD36	Other gene (n = 17,031)		-8.1493	4.213464257484618
TET2	Other gene (n = 17,031)		-1.0589	4.196437493913582
ADNP	Other gene (n = 17,031)		5.6124	4.195547600530658
C1orf27	Other gene (n = 17,031)		1.7504	4.193417959514032
CCP110	Other gene (n = 17,031)		4.4644	4.190417011378566
PRSS35	Other gene (n = 17,031)		-0.25913	4.18981040438205
RNF25	Other gene (n = 17,031)		3.6061	4.18544238847677
RPS6KA6	Other gene (n = 17,031)		4.2055	4.183363692573826
USP37	Other gene (n = 17,031)		6.2825	4.18140673989674
CROT	Other gene (n = 17,031)		0.61178	4.18131522618038
ZNF19	Other gene (n = 17,031)		0.95427	4.179515479418971
NFKBIL1	Other gene (n = 17,031)		3.0507	4.178915344997468
CCDC65	Other gene (n = 17,031)		1.086	4.177040195610944
SEL1L	Other gene (n = 17,031)		5.3164	4.1659157269348475
RSPH6A	Other gene (n = 17,031)		1.8022	4.165204987573546
RHCE	Other gene (n = 17,031)		2.3059	4.16116202910161
KCNG3	Other gene (n = 17,031)		2.434	4.160659583627876
CCDC158	Other gene (n = 17,031)		1.7614	4.155910236945809
ABCB8	Other gene (n = 17,031)		1.1776	4.154717855428126
PLCD1	Other gene (n = 17,031)		1.0248	4.152437847069793
ZMIZ1	Other gene (n = 17,031)		5.7903	4.1507677306765105
ADRB1	Other gene (n = 17,031)		0.31249	4.15005133682767
MLLT6	Other gene (n = 17,031)		5.616	4.149326742527995
MAP3K11	Other gene (n = 17,031)		4.0581	4.147796859242291
NR6A1	Other gene (n = 17,031)		4.1212	4.147082879610358
FNIP2	Other gene (n = 17,031)		6.1839	4.1466004730238755
SAV1	Other gene (n = 17,031)		2.6378	4.144655535240595
DCAF8	Other gene (n = 17,031)		4.8541	4.140851333142662
DCAF8	Other gene (n = 17,031)		5.1699	4.140851333142662
PUM1	Other gene (n = 17,031)		6.8206	4.139850876611014
OLFML2A	Other gene (n = 17,031)		1.5753	4.139720424208238
SYT9	Other gene (n = 17,031)		3.291	4.1382204727524705
ZNF578	Other gene (n = 17,031)		-0.15157	4.137443966141767
NOX1	Other gene (n = 17,031)		1.343	4.137013443614039
COL25A1	Other gene (n = 17,031)		2.3009	4.134432313916575
EPHB2	Other gene (n = 17,031)		5.5942	4.130448512750208
EPB41L5	Other gene (n = 17,031)		4.7298	4.128576769601555
BRIP1	Other gene (n = 17,031)		2.9202	4.1224598756301365
PRAM1	Other gene (n = 17,031)		2.6436	4.119391951510736
KIAA1239	Other gene (n = 17,031)		5.7425	4.117892482474609
ESYT3	Other gene (n = 17,031)		0.92653	4.1156575320512445
ARAP3	Other gene (n = 17,031)		5.6608	4.11394620033216
ZNF607	Other gene (n = 17,031)		1.666	4.112523332978739
CDH7	Other gene (n = 17,031)		4.24	4.110750073086628
IRF7	Other gene (n = 17,031)		-0.37392	4.110322404016931
CCDC40	Other gene (n = 17,031)		2.4875	4.101244961097271
ACTG1	Other gene (n = 17,031)		1.9467	4.1005585551168595
NAP1L4	Other gene (n = 17,031)		3.9076	4.095833419697791
RAB11FIP4	Other gene (n = 17,031)		4.5936	4.094663963338276
CPXM1	Other gene (n = 17,031)		2.0148	4.0891290190019784
RXRB	Other gene (n = 17,031)		4.1135	4.082722244676956
LUM	Other gene (n = 17,031)		1.6985	4.0821445443748
FOXA2	Other gene (n = 17,031)		2.8569	4.081929715768675
TTBK2	Other gene (n = 17,031)		5.6563	4.078320932409403
STAG3	Other gene (n = 17,031)		4.3235	4.073719525064422
CD84	Other gene (n = 17,031)		0.59496	4.0690307967125285
SRPK1	Other gene (n = 17,031)		3.5239	4.068840799434691
KAT5	Other gene (n = 17,031)		3.7839	4.068155499906903
PSMC4	Other gene (n = 17,031)		3.2784	4.064712440277406
CSRNP3	Other gene (n = 17,031)		3.5479	4.060117633932594
MED1	Other gene (n = 17,031)		6.5332	4.060031262054635
UROC1	Other gene (n = 17,031)		1.6806	4.0591582654334735
TGFBR3	Other gene (n = 17,031)		4.0054	4.058416248390861
IDE	Other gene (n = 17,031)		5.165	4.0576494725595165
C9orf172	Other gene (n = 17,031)		3.9634	4.05759172901289
BRPF3	Other gene (n = 17,031)		5.7192	4.056927269833756
MYO6	Other gene (n = 17,031)		5.9241	4.053296233027016
SLC1A2	Other gene (n = 17,031)		3.5077	4.0520812248521185
MYRF	Other gene (n = 17,031)		6.5536	4.048369444155115
BEND3	Other gene (n = 17,031)		4.0338	4.04603767798018
GABRA1	Other gene (n = 17,031)		3.6547	4.046005219849229
CLPTM1L	Other gene (n = 17,031)		3.1175	4.044836456294287
EGFL6	Other gene (n = 17,031)		0.50701	4.042591110827987
CCDC79	Other gene (n = 17,031)		2.7897	4.038672718867435
WEE2	Other gene (n = 17,031)		2.3833	4.0384904413535185
OR5M9	Other gene (n = 17,031)		0.53882	4.036589822434762
ADAM32	Other gene (n = 17,031)		1.9697	4.036068496651504
HSF1	Other gene (n = 17,031)		3.5669	4.032552664199312
NAGK	Other gene (n = 17,031)		0.84813	4.029795502164912
DOPEY1	Other gene (n = 17,031)		8.3691	4.02905226806545
DCT	Other gene (n = 17,031)		0.83719	4.0236133794508335
UGT2B10	Other gene (n = 17,031)		-0.71029	4.023310712590922
GRHL1	Other gene (n = 17,031)		4.106	4.0225068944313
ZNF469	Other gene (n = 17,031)		4.6296	4.019501282409643
PPP1R16A	Other gene (n = 17,031)		2.8095	4.017458373865985
ICA1L	Other gene (n = 17,031)		2.9715	4.017246755789135
FPGS	Other gene (n = 17,031)		2.6814	4.016640608737906
HNF1B	Other gene (n = 17,031)		4.7513	4.015934211817026
ACHE	Other gene (n = 17,031)		4.2469	4.010487084517265
PODN	Other gene (n = 17,031)		1.4851	4.010224322388317
ACRBP	Other gene (n = 17,031)		1.8473	4.006374059367499
DCSTAMP	Other gene (n = 17,031)		1.1101	4.004394268175119
UBXN2B	Other gene (n = 17,031)		2.3836	4.004350344089088
MATK	Other gene (n = 17,031)		2.5288	4.004045678101723
KANSL1	Other gene (n = 17,031)		5.754	3.9987796959793767
PIK3C2G	Other gene (n = 17,031)		0.60465	3.9971520666931637
WDHD1	Other gene (n = 17,031)		2.8478	3.993663481259754
TNKS	Other gene (n = 17,031)		5.2766	3.992484366869265
PLXNC1	Other gene (n = 17,031)		6.674	3.9868360382751216
ZNF556	Other gene (n = 17,031)		-0.019345	3.9866873460334653
ADAM9	Other gene (n = 17,031)		4.8095	3.9865443556321294
STEAP1	Other gene (n = 17,031)		1.0305	3.9864225929799626
DUSP5	Other gene (n = 17,031)		1.775	3.9858500835607136
MSL2	Other gene (n = 17,031)		3.0303	3.982754354205116
RTEL1	Other gene (n = 17,031)		4.8242	3.982490230527226
ZNF76	Other gene (n = 17,031)		0.24147	3.9824280648605446
KLF5	Other gene (n = 17,031)		3.0269	3.978037907387512
HNRNPAB	Other gene (n = 17,031)		3.2685	3.9771265509950005
OR51I1	Other gene (n = 17,031)		0.44667	3.9770342764589497
VAV3	Other gene (n = 17,031)		3.2624	3.976405239373339
NLRP11	Other gene (n = 17,031)		2.5188	3.9759240083316403
TBL1XR1	Other gene (n = 17,031)		4.9105	3.969061524387817
SASH3	Other gene (n = 17,031)		2.6534	3.9656107626876764
RANGAP1	Other gene (n = 17,031)		3.3985	3.9606889310993454
CHST9	Other gene (n = 17,031)		0.96303	3.950693956600282
PPP1R21	Other gene (n = 17,031)		3.3664	3.950535067434504
CNTN2	Other gene (n = 17,031)		4.9238	3.94764234902231
SAMSN1	Other gene (n = 17,031)		0.74619	3.9473929195002895
TM9SF1	Other gene (n = 17,031)		1.9643	3.9444451497536646
TM9SF1	Other gene (n = 17,031)		1.4612	3.9444451497536646
MAP2K4	Other gene (n = 17,031)		4.1035	3.9431670130537286
TPX2	Other gene (n = 17,031)		5.4464	3.942544005557716
NNT	Other gene (n = 17,031)		5.2223	3.9397320614337756
AGO4	Other gene (n = 17,031)		5.7673	3.936854613228278
AGO1	Other gene (n = 17,031)		6.7075	3.93649663842982
SSC5D	Other gene (n = 17,031)		0.94458	3.9339869764625695
SERPINA3	Other gene (n = 17,031)		-1.3751	3.932802876634182
DCST2	Other gene (n = 17,031)		2.1562	3.9324157259831862
ZNF205	Other gene (n = 17,031)		3.1328	3.9313922999313884
L2HGDH	Other gene (n = 17,031)		2.3392	3.92807210203387
BRINP1	Other gene (n = 17,031)		4.6102	3.9241906163849203
PLCB2	Other gene (n = 17,031)		2.5068	3.9220622648916
TLR10	Other gene (n = 17,031)		1.5017	3.919169432031846
KIDINS220	Other gene (n = 17,031)		6.4057	3.911954015737466
C6orf136	Other gene (n = 17,031)		3.5169	3.9114636621271646
KCNT2	Other gene (n = 17,031)		5.7399	3.909527397520695
STIP1	Other gene (n = 17,031)		5.31	3.908611754204919
ZNF862	Other gene (n = 17,031)		2.1928	3.9006235609301587
DENND1C	Other gene (n = 17,031)		3.0792	3.8989685657738353
OR10J3	Other gene (n = 17,031)		-0.27963	3.8980725792223145
SPATA20	Other gene (n = 17,031)		3.1755	3.896495388692831
POFUT2	Other gene (n = 17,031)		2.5233	3.8937669544736293
AMOTL2	Other gene (n = 17,031)		4.2374	3.889318926999607
TRPC7	Other gene (n = 17,031)		3.8526	3.884297875423004
MAMDC2	Other gene (n = 17,031)		2.6408	3.8828223862492877
MUC6	Other gene (n = 17,031)		1.7706	3.881893383566326
TNFRSF19	Other gene (n = 17,031)		2.3252	3.879919526344682
GABRR1	Other gene (n = 17,031)		0.59354	3.877028178493114
OR1S1	Other gene (n = 17,031)		-0.46591	3.876887920550798
UBE3B	Other gene (n = 17,031)		4.468	3.8713217353647726
ARHGAP19	Other gene (n = 17,031)		1.1492	3.869545043128461
THRB	Other gene (n = 17,031)		4.074	3.8690590592916685
LMOD3	Other gene (n = 17,031)		1.1213	3.8682448426703
TMPRSS3	Other gene (n = 17,031)		1.0981	3.863272448009169
MCM10	Other gene (n = 17,031)		2.4795	3.8595645923792157
IMPAD1	Other gene (n = 17,031)		1.9704	3.857240934401389
VPS39	Other gene (n = 17,031)		3.445	3.8550122129233757
KIAA0753	Other gene (n = 17,031)		0.91266	3.853352000235489
SLC4A3	Other gene (n = 17,031)		4.2541	3.8501872768871648
NADK	Other gene (n = 17,031)		1.5841	3.847942430496654
NOTCH4	Other gene (n = 17,031)		3.5568	3.8468975441380686
LRRC4B	Other gene (n = 17,031)		3.218	3.8374220228074236
ATM	Other gene (n = 17,031)		4.8159	3.8363559495695574
SLC12A7	Other gene (n = 17,031)		2.2306	3.835424233515632
ZNF268	Other gene (n = 17,031)		1.5942	3.835138698376085
CHD8	Other gene (n = 17,031)		10.116	3.831305436005067
SLC29A4	Other gene (n = 17,031)		1.8239	3.8265938002689803
OR4C12	Other gene (n = 17,031)		-0.52192	3.822973112902614
RAPGEF1	Other gene (n = 17,031)		6.281	3.822817731079542
MLLT10	Other gene (n = 17,031)		6.426	3.820745480173682
RIF1	Other gene (n = 17,031)		8.9551	3.8198709464748966
EPHA5	Other gene (n = 17,031)		4.1564	3.817506019674432
OR5B12	Other gene (n = 17,031)		0.85838	3.81601212275375
COL14A1	Other gene (n = 17,031)		5.4735	3.8129316226257903
ORC1	Other gene (n = 17,031)		2.1972	3.8119130874997635
XPC	Other gene (n = 17,031)		2.7016	3.8110480506036386
NOS3	Other gene (n = 17,031)		4.8246	3.8058520119460395
GTPBP10	Other gene (n = 17,031)		2.3694	3.7958953836953513
ACVR1	Other gene (n = 17,031)		3.6411	3.7932862747432123
POLD1	Other gene (n = 17,031)		4.3867	3.7917076684780895
ZNF620	Other gene (n = 17,031)		1.3385	3.7882952263078735
SALL1	Other gene (n = 17,031)		4.9235	3.785996670009567
DCDC2	Other gene (n = 17,031)		0.99766	3.785451028158388
HOXA2	Other gene (n = 17,031)		2.2509	3.7845087375427258
OPN3	Other gene (n = 17,031)		1.8617	3.784314999687522
MYRFL	Other gene (n = 17,031)		0.37621	3.781172869193485
CCDC8	Other gene (n = 17,031)		1.8781	3.7811642487124835
SLC6A20	Other gene (n = 17,031)		0.43547	3.77900061266726
KCNQ2	Other gene (n = 17,031)		5.5503	3.7775206361930187
ZFP2	Other gene (n = 17,031)		-0.99406	3.775439935231131
GOLGA5	Other gene (n = 17,031)		4.1072	3.773581015171354
SMC6	Other gene (n = 17,031)		4.8829	3.766057513815696
OR8H3	Other gene (n = 17,031)		0.45225	3.765094529991093
ZNF214	Other gene (n = 17,031)		-0.33189	3.764971902479489
ABCA6	Other gene (n = 17,031)		2.5541	3.75889738355296
ZC3H13	Other gene (n = 17,031)		8.1628	3.756441340474354
FBXO22	Other gene (n = 17,031)		3.4798	3.7561374924694784
ZNF264	Other gene (n = 17,031)		1.5895	3.755792731979598
DUSP6	Other gene (n = 17,031)		3.1376	3.755033724676899
MLH1	Other gene (n = 17,031)		3.6818	3.7538868421847473
SEPSECS	Other gene (n = 17,031)		1.6031	3.75250255092702
ABCF1	Other gene (n = 17,031)		3.9311	3.7483621083078056
FRYL	Other gene (n = 17,031)		9.1855	3.745778031669374
FAM135A	Other gene (n = 17,031)		6.2502	3.7457596651770304
TIGD6	Other gene (n = 17,031)		0.9947	3.7453022433519516
RNF149	Other gene (n = 17,031)		2.0151	3.744199224630315
SMG5	Other gene (n = 17,031)		5.0821	3.7437804490656306
ZNF776	Other gene (n = 17,031)		0.0083963	3.741229548972726
HBP1	Other gene (n = 17,031)		3.167	3.741087860452402
DMD	Other gene (n = 17,031)		10.694	3.7361129746947106
MMP21	Other gene (n = 17,031)		0.87506	3.735703456851409
ZNF831	Other gene (n = 17,031)		2.915	3.7337909134759095
DNAJC6	Other gene (n = 17,031)		5.6982	3.732428008591497
GEMIN5	Other gene (n = 17,031)		3.4259	3.732323942143088
SECISBP2L	Other gene (n = 17,031)		5.1404	3.7296461375831416
ZNF276	Other gene (n = 17,031)		2.558	3.728663932671213
PPP2R1A	Other gene (n = 17,031)		4.4162	3.7268699338800984
FASTK	Other gene (n = 17,031)		3.2014	3.7242118447851364
TRIM26	Other gene (n = 17,031)		3.7137	3.721963903476734
LRIT2	Other gene (n = 17,031)		0.054721	3.72113336944315
ASIC2	Other gene (n = 17,031)		4.4256	3.718268079958151
FUT11	Other gene (n = 17,031)		1.0897	3.7171410359923605
NKPD1	Other gene (n = 17,031)		1.661	3.7167689502563124
EARS2	Other gene (n = 17,031)		1.4832	3.7163918627246386
PAK1IP1	Other gene (n = 17,031)		3.0152	3.714138271116265
APBA3	Other gene (n = 17,031)		0.66063	3.7122378210918896
LRIT1	Other gene (n = 17,031)		-0.36639	3.7106701343642334
CPSF3L	Other gene (n = 17,031)		1.5821	3.705128302381732
TTLL13	Other gene (n = 17,031)		0.87141	3.704366530426038
AK9	Other gene (n = 17,031)		3.711	3.6990177473336017
OSBP	Other gene (n = 17,031)		5.4246	3.695998705110856
ACSF2	Other gene (n = 17,031)		3.1157	3.6953052543653486
ATP13A3	Other gene (n = 17,031)		6.5852	3.69525974730766
FTO	Other gene (n = 17,031)		2.1809	3.6947737000734544
MPHOSPH9	Other gene (n = 17,031)		3.7135	3.694618276565742
ZBTB12	Other gene (n = 17,031)		2.8359	3.6914974253117983
EIF3F	Other gene (n = 17,031)		3.3872	3.6884954767545914
MAVS	Other gene (n = 17,031)		0.75249	3.688269357316014
